Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
18:53:09;89.1; 94.60; 40.60;TEMP_TOO_HIGH;951
18:53:10;88.1; 97.80; 39.40;TEMP_TOO_HIGH;952
18:53:11;92.0; 95.70; 38.70;HR_TOO_HIGH|TEMP_TOO_HIGH;953
18:53:12;87.4; 98.10; 40.50;TEMP_TOO_HIGH;954
18:53:13;88.0; 95.50; 40.10;TEMP_TOO_HIGH;955
18:53:14;93.6; 97.40; 40.00;HR_TOO_HIGH|TEMP_TOO_HIGH;956
18:53:15;86.1; 96.90; 39.50;TEMP_TOO_HIGH;957
18:53:16;89.1; 97.90; 38.50;TEMP_TOO_HIGH;958
18:53:17;93.7; 95.80; 40.00;HR_TOO_HIGH|TEMP_TOO_HIGH;959
18:53:18;87.4; 95.00; 38.50;TEMP_TOO_HIGH;960
18:53:19;90.5; 95.10; 38.90;HR_TOO_HIGH|TEMP_TOO_HIGH;961
18:53:20;85.1; 95.20; 40.00;TEMP_TOO_HIGH;962
18:53:21;88.3; 97.70; 39.70;TEMP_TOO_HIGH;963
18:53:22;92.4; 96.90; 38.90;HR_TOO_HIGH|TEMP_TOO_HIGH;964
18:53:23;88.3; 95.50; 38.50;TEMP_TOO_HIGH;965
18:53:24;86.0; 94.50; 40.50;TEMP_TOO_HIGH;966
18:53:25;85.1; 98.40; 38.20;TEMP_TOO_HIGH;967
18:53:26;89.3; 94.20; 39.20;TEMP_TOO_HIGH;968
18:53:27;88.2; 97.10; 39.30;TEMP_TOO_HIGH;969
18:53:28;93.8; 98.50; 40.00;HR_TOO_HIGH|TEMP_TOO_HIGH;970
18:53:29;93.2; 97.70; 39.60;HR_TOO_HIGH|TEMP_TOO_HIGH;971
18:53:30;89.5; 94.20; 41.00;TEMP_TOO_HIGH;972
18:53:31;86.6; 94.40; 39.10;TEMP_TOO_HIGH;973
18:53:32;92.5; 95.00; 40.70;HR_TOO_HIGH|TEMP_TOO_HIGH;974
18:53:33;86.1; 98.90; 40.40;TEMP_TOO_HIGH;975
18:53:34;92.6; 95.70; 39.40;HR_TOO_HIGH|TEMP_TOO_HIGH;976
18:53:35;91.0; 95.00; 39.70;HR_TOO_HIGH|TEMP_TOO_HIGH;977
18:53:36;88.8; 94.50; 38.50;TEMP_TOO_HIGH;978
18:53:37;88.7; 97.30; 38.10;TEMP_TOO_HIGH;979
18:53:38;93.1; 94.10; 39.40;HR_TOO_HIGH|TEMP_TOO_HIGH;980
18:53:39;84.1; 96.90; 40.70;TEMP_TOO_HIGH;981
18:53:40;88.7; 95.30; 40.80;TEMP_TOO_HIGH;982
18:53:41;84.7; 95.30; 38.70;TEMP_TOO_HIGH;983
18:53:42;84.0; 96.70; 38.80;TEMP_TOO_HIGH;984
18:53:43;87.1; 97.90; 39.00;TEMP_TOO_HIGH;985
18:53:44;88.3; 94.90; 38.50;TEMP_TOO_HIGH;986
18:53:45;88.9; 96.00; 40.00;TEMP_TOO_HIGH;987
18:53:46;88.0; 97.50; 39.70;TEMP_TOO_HIGH;988
18:53:47;86.3; 97.10; 40.70;TEMP_TOO_HIGH;989
18:53:48;88.4; 96.50; 40.80;TEMP_TOO_HIGH;990
18:53:49;84.3; 97.80; 38.70;TEMP_TOO_HIGH;991
18:53:50;86.0; 98.30; 41.00;TEMP_TOO_HIGH;992
18:53:51;86.3; 98.20; 38.90;TEMP_TOO_HIGH;993
18:53:52;88.3; 94.90; 39.40;TEMP_TOO_HIGH;994
18:53:53;88.8; 94.70; 39.20;TEMP_TOO_HIGH;995
18:53:54;84.2; 97.60; 39.10;TEMP_TOO_HIGH;996
18:53:55;85.5; 94.50; 40.90;TEMP_TOO_HIGH;997
18:53:56;91.4; 97.50; 38.80;HR_TOO_HIGH|TEMP_TOO_HIGH;998
18:53:57;87.6; 97.40; 39.00;TEMP_TOO_HIGH;999
18:53:58;93.3; 97.60; 39.60;HR_TOO_HIGH|TEMP_TOO_HIGH;1000
18:53:59;86.8; 96.20; 40.20;TEMP_TOO_HIGH;1001
18:54:00;90.3; 98.80; 38.70;HR_TOO_HIGH|TEMP_TOO_HIGH;1002
18:54:01;90.5; 95.30; 39.00;HR_TOO_HIGH|TEMP_TOO_HIGH;1003
18:54:02;88.9; 97.50; 38.60;TEMP_TOO_HIGH;1004
18:54:03;86.6; 94.60; 39.80;TEMP_TOO_HIGH;1005
18:54:04;93.1; 97.30; 38.30;HR_TOO_HIGH|TEMP_TOO_HIGH;1006
18:54:05;90.3; 98.90; 40.80;HR_TOO_HIGH|TEMP_TOO_HIGH;1007
18:54:06;86.1; 99.00; 38.70;TEMP_TOO_HIGH;1008
18:54:07;84.3; 94.80; 39.60;TEMP_TOO_HIGH;1009
18:54:08;86.5; 95.10; 40.70;TEMP_TOO_HIGH;1010
