Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
16:28:43;84.0; 95.10; 39.90;TEMP_TOO_HIGH;51
16:28:44;89.8; 96.70; 38.70;TEMP_TOO_HIGH;52
16:28:45;85.7; 97.80; 38.00;TEMP_TOO_HIGH;53
16:28:46;90.8; 98.70; 40.20;HR_TOO_HIGH|TEMP_TOO_HIGH;54
16:28:47;93.8; 94.60; 39.00;HR_TOO_HIGH|TEMP_TOO_HIGH;55
16:28:48;92.7; 98.00; 38.30;HR_TOO_HIGH|TEMP_TOO_HIGH;56
16:28:49;93.6; 94.90; 38.10;HR_TOO_HIGH|TEMP_TOO_HIGH;57
16:28:50;90.1; 98.40; 38.40;HR_TOO_HIGH|TEMP_TOO_HIGH;58
16:28:51;88.7; 94.60; 38.20;TEMP_TOO_HIGH;59
16:28:52;90.9; 94.80; 38.70;HR_TOO_HIGH|TEMP_TOO_HIGH;60
16:28:53;89.6; 96.50; 38.20;TEMP_TOO_HIGH;61
16:28:54;91.6; 94.20; 40.30;HR_TOO_HIGH|TEMP_TOO_HIGH;62
16:28:55;86.7; 97.00; 40.20;TEMP_TOO_HIGH;63
16:28:56;93.4; 97.30; 38.70;HR_TOO_HIGH|TEMP_TOO_HIGH;64
16:28:57;85.1; 94.70; 40.30;TEMP_TOO_HIGH;65
16:28:58;85.1; 94.00; 38.30;TEMP_TOO_HIGH;66
16:28:59;87.7; 96.30; 38.10;TEMP_TOO_HIGH;67
16:29:00;90.6; 97.40; 38.90;HR_TOO_HIGH|TEMP_TOO_HIGH;68
16:29:01;92.4; 94.90; 39.90;HR_TOO_HIGH|TEMP_TOO_HIGH;69
16:29:02;84.8; 98.10; 39.50;TEMP_TOO_HIGH;70
16:29:03;87.8; 98.50; 40.50;TEMP_TOO_HIGH;71
16:29:04;86.1; 96.40; 39.90;TEMP_TOO_HIGH;72
16:29:05;88.1; 98.60; 39.30;TEMP_TOO_HIGH;73
16:29:06;91.1; 96.00; 38.40;HR_TOO_HIGH|TEMP_TOO_HIGH;74
16:29:07;90.3; 97.80; 39.40;HR_TOO_HIGH|TEMP_TOO_HIGH;75
16:29:08;88.6; 99.00; 39.70;TEMP_TOO_HIGH;76
16:29:09;88.6; 98.10; 39.60;TEMP_TOO_HIGH;77
16:29:10;87.3; 96.00; 39.30;TEMP_TOO_HIGH;78
16:29:11;88.1; 94.60; 39.80;TEMP_TOO_HIGH;79
16:29:12;90.3; 97.70; 39.00;HR_TOO_HIGH|TEMP_TOO_HIGH;80
16:29:13;93.0; 99.00; 40.80;HR_TOO_HIGH|TEMP_TOO_HIGH;81
16:29:14;91.8; 95.00; 40.40;HR_TOO_HIGH|TEMP_TOO_HIGH;82
16:29:15;92.1; 99.00; 40.90;HR_TOO_HIGH|TEMP_TOO_HIGH;83
16:29:16;89.9; 94.10; 40.30;TEMP_TOO_HIGH;84
16:29:17;88.4; 98.80; 38.60;TEMP_TOO_HIGH;85
16:29:18;89.9; 95.70; 39.50;TEMP_TOO_HIGH;86
16:29:19;91.6; 98.00; 41.00;HR_TOO_HIGH|TEMP_TOO_HIGH;87
16:29:20;86.2; 98.30; 38.00;TEMP_TOO_HIGH;88
16:29:21;85.2; 96.30; 38.10;TEMP_TOO_HIGH;89
16:29:22;85.2; 96.30; 39.70;TEMP_TOO_HIGH;90
16:29:23;93.7; 94.40; 39.70;HR_TOO_HIGH|TEMP_TOO_HIGH;91
16:29:24;88.3; 96.20; 39.80;TEMP_TOO_HIGH;92
16:29:25;93.7; 96.70; 40.80;HR_TOO_HIGH|TEMP_TOO_HIGH;93
16:29:26;85.6; 98.10; 40.70;TEMP_TOO_HIGH;94
16:29:27;88.9; 94.30; 38.00;TEMP_TOO_HIGH;95
16:29:28;89.4; 98.60; 38.10;TEMP_TOO_HIGH;96
16:29:29;86.3; 98.70; 38.00;TEMP_TOO_HIGH;97
16:29:30;88.0; 95.30; 39.20;TEMP_TOO_HIGH;98
16:29:31;87.0; 98.20; 38.00;TEMP_TOO_HIGH;99
16:29:32;88.2; 98.20; 40.50;TEMP_TOO_HIGH;100
