Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
18:55:23;67; 97.76; 28.38;-;32718
18:55:24;67; 97.66; 28.19;-;33628
18:55:25;67; 97.77; 28.19;-;34542
18:55:26;66; 97.92; 28.19;-;35381
18:55:26;67; 97.96; 28.56;-;36217
18:55:27;68; 97.96; 28.62;-;37056
18:55:28;68; 97.84; 28.56;-;37895
18:55:29;68; 97.78; 28.81;-;38807
18:55:30;68; 97.62; 28.75;-;39647
18:55:31;69; 97.53; 28.94;-;40487
18:55:32;69; 97.36; 28.44;-;41418
18:55:32;69; 97.23; 28.50;-;42328
18:55:33;70; 97.09; 28.62;-;43092
18:55:34;69; 97.10; 29.00;-;44005
18:55:35;69; 97.09; 28.38;-;44845
18:55:36;69; 97.02; 28.75;-;45685
18:55:37;69; 97.02; 29.12;-;46524
18:55:37;69; 96.99; 28.88;-;47436
18:55:38;69; 96.91; 29.00;-;48348
18:55:39;69; 96.63; 28.75;-;49189
18:55:40;69; 96.74; 28.88;-;50046
18:55:41;70; 96.63; 28.75;-;50883
18:55:42;69; 96.62; 28.88;-;51797
18:55:43;69; 96.49; 29.19;-;52637
18:55:43;69; 96.51; 29.44;-;53477
18:55:44;69; 96.48; 29.06;-;54390
18:55:45;68; 96.53; 28.94;-;55304
18:55:46;69; 96.39; 29.19;-;56143
18:55:47;69; 96.50; 29.00;-;56982
18:55:48;68; 96.50; 29.50;-;57967
18:55:49;68; 96.41; 29.12;-;58826
18:55:49;68; 96.44; 29.50;-;59672
18:55:50;68; 96.55; 29.50;-;60601
18:55:51;67; 96.42; 29.12;-;61513
18:55:52;67; 96.25; 29.19;-;62354
18:55:53;67; 96.25; 29.38;-;63268
18:55:54;68; 96.33; 29.31;-;64109
18:55:55;67; 96.57; 29.38;-;65094
18:55:55;67; 96.42; 29.25;-;65932
18:55:56;67; 96.55; 29.31;-;66847
18:55:57;67; 96.59; 29.31;-;67704
18:55:58;67; 96.67; 29.50;-;68542
18:55:59;68; 96.55; 29.12;-;69380
18:56:00;69; 96.84; 29.31;-;70218
18:56:00;68; 96.89; 29.81;-;71131
18:56:01;68; 96.98; 29.62;-;72043
18:56:02;68; 96.87; 29.81;-;72881
18:56:03;69; 96.88; 29.44;-;73793
18:56:04;68; 97.03; 29.38;-;74707
18:56:05;68; 96.97; 29.75;-;75620
18:56:06;69; 97.01; 29.56;-;76405
18:56:06;68; 97.10; 29.81;-;77316
18:56:07;68; 97.20; 29.94;-;78155
18:56:08;68; 97.11; 29.44;-;78993
18:56:09;69; 97.17; 29.38;-;79833
18:56:10;70; 97.29; 29.50;-;80600
18:56:10;70; 97.38; 29.38;-;81439
18:56:11;70; 97.26; 29.75;-;82349
18:56:12;71; 97.21; 29.44;-;83114
18:56:13;72; 97.53; 29.94;-;83954
18:56:14;71; 97.50; 29.69;-;84884
18:56:15;71; 97.41; 29.88;-;85797
18:56:15;71; 97.31; 29.69;-;86634
18:56:16;70; 97.40; 29.81;-;87546
18:56:17;69; 97.43; 29.50;-;88459
18:56:18;68; 97.27; 29.69;-;89372
18:56:19;68; 97.24; 29.69;-;90211
18:56:20;68; 97.39; 30.19;-;91124
18:56:21;67; 97.40; 29.44;-;91964
18:56:22;67; 97.13; 29.62;-;92878
