Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
10:36:47;81; 86.80; 25.31;SPO2_TOO_LOW|;21036
10:36:49;64; 80.01; 26.12;SPO2_TOO_LOW|;23048
10:36:51;55; 84.26; 26.31;SPO2_TOO_LOW|;25209
10:36:53;48; 86.45; 27.50;HR_TOO_LOW|SPO2_TOO_LOW|;28028
10:37:00;100; 93.99; 28.38;HR_TOO_HIGH|;35202
10:37:01;94; 96.93; 29.00;HR_TOO_HIGH|;36191
10:37:02;90; 94.86; 29.00;-;37032
10:37:03;111; 94.86; 28.69;HR_TOO_HIGH|;37267
10:37:04;105; 92.31; 29.06;HR_TOO_HIGH|SPO2_TOO_LOW|;38350
10:37:12;48; 94.44; 29.81;HR_TOO_LOW|;46757
10:37:27;93; 98.21; 29.50;HR_TOO_HIGH|;61839
10:37:27;92; 98.21; 29.44;HR_TOO_HIGH|;62535
10:37:28;90; 96.01; 29.56;-;63304
10:37:29;88; 96.44; 29.75;-;64145
10:37:35;65; 97.61; 30.12;-;71004
10:37:36;65; 96.22; 30.44;-;71918
10:37:37;65; 95.73; 30.25;-;72831
10:37:38;63; 96.08; 30.25;-;73893
10:37:39;63; 96.03; 30.44;-;74882
10:37:40;62; 95.81; 30.19;-;75944
10:37:41;61; 95.89; 30.62;-;76952
10:37:42;61; 96.04; 30.50;-;78012
10:37:43;60; 96.04; 30.75;-;79072
10:37:44;60; 96.09; 30.75;-;80133
10:37:45;59; 96.02; 30.56;-;81193
10:37:46;59; 96.17; 30.56;-;82111
10:37:47;59; 96.41; 31.00;-;83030
10:37:48;59; 96.31; 30.75;-;84019
10:37:49;60; 96.21; 30.56;-;84859
10:37:50;61; 96.48; 30.38;-;85777
10:38:44;57; 95.94; 31.69;-;13384
10:38:45;58; 96.12; 31.19;-;14300
10:38:46;58; 96.36; 31.62;-;15362
10:38:47;58; 96.40; 31.44;-;16425
10:38:48;58; 96.41; 31.44;-;17486
10:38:49;59; 96.57; 31.62;-;18478
10:38:50;60; 96.51; 31.81;-;19467
10:38:51;60; 96.63; 31.12;-;20455
10:38:52;61; 96.53; 31.00;-;21297
10:38:53;61; 96.54; 31.44;-;22218
10:38:54;61; 96.69; 31.75;-;23152
10:38:55;61; 96.77; 31.56;-;24070
10:38:56;62; 96.70; 31.44;-;25007
10:38:56;63; 96.99; 31.44;-;25848
10:38:57;64; 97.02; 31.31;-;26763
10:38:58;65; 97.18; 31.62;-;27680
10:38:59;67; 97.26; 31.81;-;28449
10:39:00;68; 97.19; 31.69;-;29292
10:39:01;68; 97.08; 31.38;-;30061
10:39:01;70; 97.03; 31.50;-;30758
10:39:02;72; 96.99; 31.62;-;31548
10:39:03;74; 96.70; 31.88;-;32244
10:39:04;75; 96.68; 31.56;-;33013
10:39:04;77; 96.22; 31.88;-;33708
10:39:05;77; 96.22; 31.81;-;34551
10:39:06;80; 96.22; 31.94;-;35175
10:39:07;80; 96.56; 31.62;-;35947
10:39:07;80; 96.18; 31.44;-;36790
10:39:08;80; 96.15; 31.62;-;37560
10:39:09;79; 96.26; 31.69;-;38405
10:39:10;78; 96.14; 31.75;-;39269
10:39:11;76; 96.46; 31.81;-;40184
10:39:12;75; 96.54; 31.44;-;41098
10:39:13;73; 96.51; 31.69;-;41942
10:39:13;73; 96.46; 31.62;-;42787
10:39:14;71; 96.64; 31.81;-;43628
10:39:15;69; 96.43; 31.75;-;44545
10:39:16;68; 96.63; 31.50;-;45536
10:39:17;67; 96.64; 31.81;-;46525
10:39:18;65; 96.66; 31.56;-;47590
10:39:19;65; 96.90; 32.00;-;48525
10:39:20;65; 96.90; 31.62;-;49443
10:39:21;65; 96.66; 31.75;-;50358
10:39:22;64; 96.62; 31.44;-;51273
10:39:23;64; 96.81; 31.62;-;52116
10:39:24;64; 97.02; 31.75;-;53032
10:39:24;64; 97.10; 31.69;-;53874
10:39:25;65; 97.02; 31.69;-;54792
10:39:26;66; 96.98; 31.56;-;55634
10:39:27;67; 97.00; 31.50;-;56477
10:39:28;67; 96.87; 31.94;-;57413
10:39:29;68; 96.68; 31.94;-;58256
10:39:30;68; 96.69; 31.75;-;59098
10:39:30;68; 96.74; 31.62;-;60015
10:39:36;77; 96.62; 31.50;-;65940
10:39:37;75; 97.07; 31.56;-;66782
10:39:38;74; 97.02; 31.88;-;67623
10:39:39;72; 97.23; 31.94;-;68538
10:39:40;72; 97.00; 31.94;-;69380
10:39:41;70; 96.92; 31.62;-;70369
10:39:42;69; 96.71; 31.69;-;71302
10:39:43;69; 96.83; 32.12;-;72217
10:39:44;69; 96.87; 31.81;-;73131
10:39:44;68; 96.83; 32.00;-;73972
10:39:45;67; 96.82; 31.62;-;74814
10:39:46;67; 96.75; 31.75;-;75657
10:39:47;67; 96.75; 31.81;-;76576
10:39:48;66; 96.53; 31.75;-;77565
10:39:49;65; 96.46; 31.94;-;78554
10:39:50;65; 96.33; 32.06;-;79619
10:39:51;64; 96.44; 31.50;-;80627
10:39:52;64; 96.27; 32.06;-;81543
10:39:53;64; 96.23; 31.69;-;82458
10:39:54;63; 96.19; 32.06;-;83447
10:39:55;63; 96.19; 31.88;-;84374
10:39:56;62; 96.03; 31.75;-;85304
10:39:56;62; 95.96; 31.94;-;86219
10:39:57;62; 96.00; 31.88;-;87208
10:39:58;62; 96.11; 32.19;-;88197
10:39:59;63; 96.25; 32.12;-;89115
10:40:00;63; 96.27; 32.00;-;90121
10:40:01;62; 96.27; 32.00;-;91111
10:40:02;62; 96.25; 32.25;-;92026
10:40:03;63; 96.33; 31.75;-;92942
10:40:04;63; 96.38; 32.25;-;93860
10:40:05;63; 96.42; 32.12;-;94777
10:40:06;63; 96.52; 31.62;-;95694
10:40:07;63; 96.46; 31.88;-;96611
10:40:08;63; 96.41; 31.69;-;97601
10:40:09;63; 96.25; 32.19;-;98595
10:40:10;63; 96.26; 31.50;-;99531
10:40:11;64; 96.25; 32.00;-;100446
10:40:12;63; 96.12; 31.62;-;101435
10:40:13;63; 96.01; 32.19;-;102426
10:40:14;62; 95.94; 31.69;-;103415
10:40:14;62; 95.90; 32.19;-;104331
10:40:15;63; 95.84; 31.56;-;105173
10:40:16;63; 96.02; 32.19;-;106090
10:40:17;63; 96.03; 32.12;-;107005
10:40:18;64; 96.20; 31.88;-;107920
