Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
18:53:08;56.7; 91.40; 31.30;HR_TOo_LOW|SPO2_TOO_LOW|;966
18:53:09;63.4; 93.10; 31.70;SPO2_TOO_LOW|;967
18:53:10;63.0; 89.40; 32.50;SPO2_TOO_LOW|;968
18:53:11;61.5; 89.20; 32.60;SPO2_TOO_LOW|;969
18:53:12;59.3; 88.00; 31.40;HR_TOo_LOW|SPO2_TOO_LOW|;970
18:53:13;60.9; 93.50; 30.70;SPO2_TOO_LOW|;971
18:53:14;60.3; 92.60; 30.90;SPO2_TOO_LOW|;972
18:53:15;63.8; 94.20; 32.60;-;973
18:53:16;61.2; 91.50; 30.60;SPO2_TOO_LOW|;974
18:53:17;66.0; 97.90; 32.00;-;975
18:53:18;60.6; 93.40; 30.80;SPO2_TOO_LOW|;976
18:53:19;59.5; 94.80; 30.90;HR_TOo_LOW|;977
18:53:20;61.7; 94.70; 32.70;-;978
18:53:21;60.4; 92.90; 31.00;SPO2_TOO_LOW|;979
18:53:22;61.9; 95.80; 32.30;-;980
18:53:23;56.0; 91.50; 31.60;HR_TOo_LOW|SPO2_TOO_LOW|;981
18:53:24;60.1; 94.80; 33.00;-;982
18:53:25;57.2; 91.70; 31.10;HR_TOo_LOW|SPO2_TOO_LOW|;983
18:53:26;59.7; 88.00; 30.60;HR_TOo_LOW|SPO2_TOO_LOW|;984
18:53:27;59.8; 95.00; 32.90;HR_TOo_LOW|;985
18:53:28;64.0; 95.10; 30.70;-;986
18:53:29;57.3; 91.90; 31.60;HR_TOo_LOW|SPO2_TOO_LOW|;987
18:53:30;63.2; 91.10; 31.90;SPO2_TOO_LOW|;988
18:53:31;58.0; 94.60; 31.50;HR_TOo_LOW|;989
18:53:32;60.7; 92.80; 30.70;SPO2_TOO_LOW|;990
18:53:33;56.7; 92.30; 30.00;HR_TOo_LOW|SPO2_TOO_LOW|;991
18:53:34;62.2; 89.30; 31.40;SPO2_TOO_LOW|;992
18:53:35;61.5; 93.80; 30.50;SPO2_TOO_LOW|;993
18:53:36;62.6; 90.10; 30.80;SPO2_TOO_LOW|;994
18:53:37;65.8; 96.80; 31.20;-;995
18:53:38;63.2; 92.70; 32.80;SPO2_TOO_LOW|;996
18:53:39;62.4; 91.70; 32.10;SPO2_TOO_LOW|;997
18:53:40;58.9; 90.80; 31.30;HR_TOo_LOW|SPO2_TOO_LOW|;998
18:53:41;65.9; 95.30; 32.90;-;999
18:53:42;58.8; 94.80; 32.90;HR_TOo_LOW|;1000
18:53:43;60.1; 93.50; 32.70;SPO2_TOO_LOW|;1001
18:53:44;64.0; 90.80; 31.40;SPO2_TOO_LOW|;1002
18:53:45;64.8; 89.00; 31.10;SPO2_TOO_LOW|;1003
18:53:46;59.3; 89.30; 32.30;HR_TOo_LOW|SPO2_TOO_LOW|;1004
18:53:47;59.8; 93.10; 30.30;HR_TOo_LOW|SPO2_TOO_LOW|;1005
18:53:48;59.7; 96.90; 32.80;HR_TOo_LOW|;1006
18:53:49;62.2; 92.40; 32.90;SPO2_TOO_LOW|;1007
18:53:50;58.4; 88.10; 32.00;HR_TOo_LOW|SPO2_TOO_LOW|;1008
18:53:51;62.2; 95.00; 30.40;-;1009
18:53:52;56.3; 94.20; 31.50;HR_TOo_LOW|;1010
18:53:53;63.4; 96.90; 30.40;-;1011
18:53:54;60.5; 90.90; 30.70;SPO2_TOO_LOW|;1012
18:53:55;57.3; 95.00; 32.40;HR_TOo_LOW|;1013
18:53:56;62.1; 94.40; 30.50;-;1014
18:53:57;57.9; 95.10; 30.80;HR_TOo_LOW|;1015
18:53:58;56.4; 92.00; 30.00;HR_TOo_LOW|SPO2_TOO_LOW|;1016
18:53:59;65.9; 97.00; 30.90;-;1017
18:54:00;63.7; 93.40; 31.20;SPO2_TOO_LOW|;1018
18:54:01;64.4; 94.40; 31.50;-;1019
18:54:02;63.0; 95.40; 32.00;-;1020
18:54:03;59.6; 95.40; 30.30;HR_TOo_LOW|;1021
18:54:04;65.1; 91.50; 31.40;SPO2_TOO_LOW|;1022
