Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
16:28:44;62.8; 93.00; 30.90;-;36
16:28:45;59.1; 97.90; 32.70;-;37
16:28:46;60.9; 91.50; 30.30;SPO2_TOO_LOW|;38
16:28:47;61.6; 91.50; 30.00;SPO2_TOO_LOW|;39
16:28:48;56.1; 97.80; 30.40;-;40
16:28:49;58.0; 91.30; 33.00;SPO2_TOO_LOW|;41
16:28:50;63.0; 88.00; 31.40;SPO2_TOO_LOW|;42
16:28:51;58.7; 89.70; 31.10;SPO2_TOO_LOW|;43
16:28:52;61.9; 91.10; 30.50;SPO2_TOO_LOW|;44
16:28:53;64.6; 90.50; 31.70;SPO2_TOO_LOW|;45
16:28:54;63.5; 97.10; 30.10;-;46
16:28:55;58.8; 97.10; 32.20;-;47
16:28:56;65.0; 90.30; 32.80;SPO2_TOO_LOW|;48
16:28:57;59.3; 96.70; 30.30;-;49
16:28:58;60.0; 96.20; 32.50;-;50
16:28:59;59.3; 92.50; 31.80;SPO2_TOO_LOW|;51
16:29:00;61.5; 89.00; 32.30;SPO2_TOO_LOW|;52
16:29:01;58.2; 91.60; 31.20;SPO2_TOO_LOW|;53
16:29:02;57.0; 92.90; 31.30;SPO2_TOO_LOW|;54
16:29:03;60.2; 97.20; 32.80;-;55
16:29:04;61.4; 95.20; 30.80;-;56
16:29:05;63.7; 89.30; 31.20;SPO2_TOO_LOW|;57
16:29:06;63.5; 93.80; 32.90;-;58
16:29:07;58.5; 92.20; 30.80;SPO2_TOO_LOW|;59
16:29:08;64.0; 97.50; 32.50;-;60
16:29:09;65.2; 90.90; 30.50;SPO2_TOO_LOW|;61
16:29:10;59.8; 88.30; 30.70;SPO2_TOO_LOW|;62
16:29:11;60.1; 97.40; 31.70;-;63
16:29:12;60.5; 90.70; 30.20;SPO2_TOO_LOW|;64
16:29:13;58.9; 93.70; 32.70;-;65
16:29:14;65.9; 93.90; 31.60;-;66
16:29:15;61.8; 97.90; 32.20;-;67
16:29:16;57.3; 95.30; 32.70;-;68
16:29:17;60.6; 94.20; 32.10;-;69
16:29:18;65.4; 91.70; 31.70;SPO2_TOO_LOW|;70
16:29:19;56.2; 94.10; 32.90;-;71
16:29:20;65.3; 89.70; 30.10;SPO2_TOO_LOW|;72
16:29:21;56.3; 96.90; 30.20;-;73
16:29:22;57.0; 92.90; 31.70;SPO2_TOO_LOW|;74
16:29:23;59.9; 94.30; 30.60;-;75
16:29:24;64.1; 95.40; 31.00;-;76
16:29:25;60.8; 96.90; 30.20;-;77
16:29:26;65.8; 97.20; 31.60;-;78
16:29:27;63.9; 95.50; 30.40;-;79
16:29:28;65.5; 97.80; 30.80;-;80
