Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
12:36:36;64.5; 92.20; 32.80;SPO2_TOO_LOW|;1
12:36:37;61.4; 96.20; 30.10;-;2
12:36:38;63.2; 91.30; 32.30;SPO2_TOO_LOW|;3
12:36:39;65.7; 90.00; 31.30;SPO2_TOO_LOW|;4
12:36:40;60.9; 94.90; 32.10;-;5
12:36:41;59.9; 94.90; 32.50;-;6
12:36:42;65.6; 92.40; 30.30;SPO2_TOO_LOW|;7
12:36:43;59.3; 92.40; 31.00;SPO2_TOO_LOW|;8
12:36:44;58.7; 95.60; 32.80;-;9
12:36:45;57.4; 96.30; 32.90;-;10
12:36:46;64.2; 92.60; 33.00;SPO2_TOO_LOW|;11
12:36:47;58.7; 89.00; 31.40;SPO2_TOO_LOW|;12
12:36:48;63.7; 96.00; 32.50;-;13
12:36:49;57.1; 88.60; 32.90;SPO2_TOO_LOW|;14
12:36:50;58.4; 92.80; 32.50;SPO2_TOO_LOW|;15
12:36:51;57.9; 88.30; 32.50;SPO2_TOO_LOW|;16
12:36:52;65.3; 96.00; 31.60;-;17
12:36:53;56.5; 92.40; 32.40;SPO2_TOO_LOW|;18
12:36:54;57.2; 88.00; 31.00;SPO2_TOO_LOW|;19
12:36:55;62.0; 88.70; 31.80;SPO2_TOO_LOW|;20
12:36:56;60.2; 88.80; 32.00;SPO2_TOO_LOW|;21
12:36:57;60.5; 94.90; 31.30;-;22
12:36:58;58.8; 95.10; 30.20;-;23
12:36:59;65.2; 88.60; 30.80;SPO2_TOO_LOW|;24
12:37:00;60.8; 92.70; 32.40;SPO2_TOO_LOW|;25
12:37:01;57.8; 98.00; 30.30;-;26
12:37:02;59.7; 98.00; 30.70;-;27
12:37:03;60.6; 93.00; 32.70;-;28
12:37:04;56.3; 88.90; 30.90;SPO2_TOO_LOW|;29
12:37:05;60.7; 92.40; 31.40;SPO2_TOO_LOW|;30
12:37:10;60.5; 91.30; 32.70;SPO2_TOO_LOW|;1
12:37:11;64.1; 91.60; 30.40;SPO2_TOO_LOW|;2
12:37:12;57.6; 88.40; 33.00;SPO2_TOO_LOW|;3
12:37:13;62.3; 91.20; 31.20;SPO2_TOO_LOW|;4
12:37:14;57.2; 89.20; 32.40;SPO2_TOO_LOW|;5
12:37:15;62.6; 89.10; 32.00;SPO2_TOO_LOW|;6
12:37:16;60.0; 91.90; 31.30;SPO2_TOO_LOW|;7
12:37:17;63.5; 97.10; 31.50;-;8
12:37:18;60.1; 92.30; 32.70;SPO2_TOO_LOW|;9
12:37:19;58.3; 93.20; 30.30;-;10
12:37:20;60.8; 91.50; 30.10;SPO2_TOO_LOW|;11
12:37:21;58.6; 91.40; 32.60;SPO2_TOO_LOW|;12
12:37:22;63.0; 89.00; 30.90;SPO2_TOO_LOW|;13
12:37:23;65.5; 95.30; 30.00;-;14
12:37:24;64.5; 90.70; 32.80;SPO2_TOO_LOW|;15
12:37:25;60.2; 92.30; 31.30;SPO2_TOO_LOW|;16
12:37:26;57.7; 93.20; 30.20;-;17
12:37:27;64.3; 90.50; 31.90;SPO2_TOO_LOW|;18
12:37:28;59.6; 88.20; 30.80;SPO2_TOO_LOW|;19
12:37:29;62.8; 92.90; 33.00;SPO2_TOO_LOW|;20
12:37:30;61.8; 90.80; 31.90;SPO2_TOO_LOW|;21
12:37:31;56.6; 89.90; 30.00;SPO2_TOO_LOW|;22
12:37:32;56.2; 94.00; 30.30;-;23
12:37:33;62.2; 92.50; 31.40;SPO2_TOO_LOW|;24
12:37:35;63.1; 90.80; 31.90;SPO2_TOO_LOW|;26
12:37:36;64.6; 97.90; 33.00;-;27
12:37:37;60.7; 89.90; 32.50;SPO2_TOO_LOW|;28
12:37:38;64.8; 93.70; 32.50;-;29
12:37:39;56.9; 92.40; 31.30;SPO2_TOO_LOW|;30
12:37:40;61.3; 94.80; 32.80;-;31
12:37:41;58.2; 92.80; 32.50;SPO2_TOO_LOW|;32
12:37:42;59.2; 96.80; 30.70;-;33
12:37:43;63.0; 89.90; 30.40;SPO2_TOO_LOW|;34
12:37:44;60.4; 97.20; 30.40;-;35
12:37:45;60.7; 97.70; 30.80;-;36
12:37:46;63.7; 89.20; 31.50;SPO2_TOO_LOW|;37
12:37:47;56.4; 96.00; 31.30;-;38
12:37:49;57.2; 89.80; 30.90;SPO2_TOO_LOW|;39
12:37:50;61.5; 89.80; 31.80;SPO2_TOO_LOW|;40
12:37:51;57.3; 96.40; 31.90;-;41
12:37:52;59.6; 97.70; 31.30;-;42
12:37:53;56.2; 96.60; 32.10;-;43
